306;[AMC] [70.70] HEPATITIS C
108428;[AMC] [A4101] SEPSIS DUE TO METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS
108414;[AMC] [B188] OTHER CHRONIC VIRAL HEPATITIS
108347;[AMC] [B9562] METHICILLIN RESIS STAPH INFCT CAUSING DISEASES CLASSD ELSWHR
108413;[AMC] [C768] MALIGNANT NEOPLASM OF OTHER SPECIFIED ILL-DEFINED SITES
108392;[AMC] [D510] VITAMIN B12 DEFIC ANEMIA DUE TO INTRINSIC FACTOR DEFICIENCY
108393;[AMC] [D649] ANEMIA, UNSPECIFIED
108429;[AMC] [E1122] TYPE 2 DIABETES MELLITUS W DIABETIC CHRONIC KIDNEY DISEASE
108355;[AMC] [E1142] TYPE 2 DIABETES MELLITUS WITH DIABETIC POLYNEUROPATHY
108406;[AMC] [E11621] TYPE 2 DIABETES MELLITUS WITH FOOT ULCER
108359;[AMC] [F0280] DEMENTIA IN OTH DISEASES CLASSD ELSWHR W/O BEHAVRL DISTURB
108357;[AMC] [F0390] UNSPECIFIED DEMENTIA WITHOUT BEHAVIORAL DISTURBANCE
108433;[AMC] [F17210] NICOTINE DEPENDENCE, CIGARETTES, UNCOMPLICATED
108362;[AMC] [F329] MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, UNSPECIFIED
108396;[AMC] [F339] MAJOR DEPRESSIVE DISORDER, RECURRENT, UNSPECIFIED
108432;[AMC] [F411] GENERALIZED ANXIETY DISORDER
108402;[AMC] [F419] ANXIETY DISORDER, UNSPECIFIED
108365;[AMC] [G2581] RESTLESS LEGS SYNDROME
108358;[AMC] [G309] ALZHEIMER'S DISEASE, UNSPECIFIED
108394;[AMC] [G7281] CRITICAL ILLNESS MYOPATHY
108366;[AMC] [G809] CEREBRAL PALSY, UNSPECIFIED
108434;[AMC] [G8220] PARAPLEGIA, UNSPECIFIED
108421;[AMC] [H9191] UNSPECIFIED HEARING LOSS, RIGHT EAR
108375;[AMC] [I129] HYPERTENSIVE CHRONIC KIDNEY DISEASE W STG 1-4/UNSP CHR KDNY
108398;[AMC] [I130] HYP HRT & CHR KDNY DIS W HRT FAIL AND STG 1-4/UNSP CHR KDNY
108378;[AMC] [I249] ACUTE ISCHEMIC HEART DISEASE, UNSPECIFIED
108353;[AMC] [I2510] ATHSCL HEART DISEASE OF NATIVE CORONARY ARTERY W/O ANG PCTRS
108418;[AMC] [I2699] OTHER PULMONARY EMBOLISM WITHOUT ACUTE COR PULMONALE
108384;[AMC] [I4891] UNSPECIFIED ATRIAL FIBRILLATION
108351;[AMC] [I4892] UNSPECIFIED ATRIAL FLUTTER
108352;[AMC] [I5030] UNSPECIFIED DIASTOLIC (CONGESTIVE) HEART FAILURE
108401;[AMC] [I5040] UNSP COMBINED SYSTOLIC AND DIASTOLIC (CONGESTIVE) HRT FAIL
108423;[AMC] [I69354] HEMIPLGA FOLLOWING CEREBRAL INFRC AFFECTING LEFT NONDOM SIDE
108350;[AMC] [I739] PERIPHERAL VASCULAR DISEASE, UNSPECIFIED
108377;[AMC] [J189] PNEUMONIA, UNSPECIFIED ORGANISM
108354;[AMC] [J449] CHRONIC OBSTRUCTIVE PULMONARY DISEASE, UNSPECIFIED
108356;[AMC] [J45909] UNSPECIFIED ASTHMA, UNCOMPLICATED
108436;[AMC] [J84112] IDIOPATHIC PULMONARY FIBROSIS
108435;[AMC] [J9611] CHRONIC RESPIRATORY FAILURE WITH HYPOXIA
108367;[AMC] [K51919] ULCERATIVE COLITIS, UNSP WITH UNSPECIFIED COMPLICATIONS
108440;[AMC] [K649] UNSPECIFIED HEMORRHOIDS
108397;[AMC] [L03115] CELLULITIS OF RIGHT LOWER LIMB
108346;[AMC] [L03116] CELLULITIS OF LEFT LOWER LIMB
108349;[AMC] [L97429] NON-PRS CHRONIC ULCER OF LEFT HEEL AND MIDFOOT W UNSP SEVERT
108426;[AMC] [L97501] NON-PRS CHR ULCER OTH PRT UNSP FOOT LIMITED TO BRKDWN SKIN
108348;[AMC] [L97529] NON-PRESSURE CHRONIC ULCER OTH PRT LEFT FOOT W UNSP SEVERITY
108385;[AMC] [M1990] UNSPECIFIED OSTEOARTHRITIS, UNSPECIFIED SITE
108439;[AMC] [M4800] SPINAL STENOSIS, SITE UNSPECIFIED
108400;[AMC] [M4806] SPINAL STENOSIS, LUMBAR REGION
108390;[AMC] [M5030] OTHER CERVICAL DISC DEGENERATION, UNSP CERVICAL REGION
108363;[AMC] [M6281] MUSCLE WEAKNESS (GENERALIZED)
108407;[AMC] [M726] NECROTIZING FASCIITIS
108386;[AMC] [M810] AGE-RELATED OSTEOPOROSIS W/O CURRENT PATHOLOGICAL FRACTURE
108427;[AMC] [M868X7] OTHER OSTEOMYELITIS, ANKLE AND FOOT
134;[AMC] [N/A] Above the Knee Amputation
25;[AMC] [N/A] Acute renal failure
36;[AMC] [N/A] ADD
142;[AMC] [N/A] AIDS
51;[AMC] [N/A] Alcohol Abuse
18;[AMC] [N/A] Alzheimer’s Disease
56;[AMC] [N/A] Amyloidosis
27;[AMC] [N/A] Anemia
8;[AMC] [N/A] Angina Pectoris
296;[AMC] [N/A] Anxiety
30;[AMC] [N/A] Aortic Valve Disorder
71;[AMC] [N/A] Ascites
10;[AMC] [N/A] Asthma
24;[AMC] [N/A] Atrial fibrillation
32;[AMC] [N/A] Autistic disorder
135;[AMC] [N/A] Below the Knee Amputation
67;[AMC] [N/A] Benign Prostatic Hypertrophy
297;[AMC] [N/A] Bipolar Disorder
298;[AMC] [N/A] Bowel Incontinence
299;[AMC] [N/A] Cancer Bone
80;[AMC] [N/A] Cancer Breast
81;[AMC] [N/A] Cancer Colon
79;[AMC] [N/A] Cancer Lung
78;[AMC] [N/A] Cancer Pancreatic
38;[AMC] [N/A] Cardiac anomaly
6;[AMC] [N/A] Cardiac Dysrhythmia
26;[AMC] [N/A] Cardiomyopathy
133;[AMC] [N/A] Cerebral Aneurysm 
107941;[AMC] [N/A] CHF
11;[AMC] [N/A] Chronic Bronchitis
4;[AMC] [N/A] Chronic Ischemic Heart Disease
49;[AMC] [N/A] Chronic Kidney Disease
9;[AMC] [N/A] Chronic Obstructive Pulmonary Disease
16;[AMC] [N/A] Chronic Renal Failure
42;[AMC] [N/A] Cirrhosis of the liver
46;[AMC] [N/A] Collapse
31;[AMC] [N/A] Convulsions
2;[AMC] [N/A] Coronary artherosclerosis
17;[AMC] [N/A] CVA (Cerebro Vascular Accident)
75;[AMC] [N/A] Dementia
48;[AMC] [N/A] Depression
35;[AMC] [N/A] Developmental Delay
107942;[AMC] [N/A] Diabetes
148;[AMC] [N/A] Disc Displacement
13;[AMC] [N/A] DM I
14;[AMC] [N/A] DM II
34;[AMC] [N/A] Downs Syndrome
43;[AMC] [N/A] DVT
12;[AMC] [N/A] Emphysema
70;[AMC] [N/A] Encephalopathy
66;[AMC] [N/A] End stage renal disease
50;[AMC] [N/A] Epilepsy
28;[AMC] [N/A] Failure to Thrive
147;[AMC] [N/A] Gait abnormality
140;[AMC] [N/A] Gastroenteritis
63;[AMC] [N/A] Gout
1;[AMC] [N/A] Heart Disease unspecified
3;[AMC] [N/A] Heart Failure
276;[AMC] [N/A] Heart Transplant 
62;[AMC] [N/A] Hemiplegia
77;[AMC] [N/A] Hemiplegia Left
76;[AMC] [N/A] Hemiplegia Right
69;[AMC] [N/A] Hepatitis B
33;[AMC] [N/A] HIV
57;[AMC] [N/A] Hypercholesterolemia
47;[AMC] [N/A] Hyperlipidemia
7;[AMC] [N/A] Hypertension
300;[AMC] [N/A] Hyperthyroidism
73;[AMC] [N/A] Hypotension
301;[AMC] [N/A] Hypothyroidism
302;[AMC] [N/A] Ischemic Heart Disease
21;[AMC] [N/A] Kidney Transplant Status
144;[AMC] [N/A] Left hip replacement
146;[AMC] [N/A] Left knee replacement
138;[AMC] [N/A] Leukemia
303;[AMC] [N/A] Lipoma
52;[AMC] [N/A] Malaise and Fatigue
61;[AMC] [N/A] Mild Cognitive Impairment
68;[AMC] [N/A] Multiple Sclerosis 
40;[AMC] [N/A] Myelopathy
5;[AMC] [N/A] Myocardial Infarction
37;[AMC] [N/A] Nephrotic Syndrome
29;[AMC] [N/A] Obesity
55;[AMC] [N/A] Orthostatic Hypotension
15;[AMC] [N/A] Osteoarthritis
149;[AMC] [N/A] Osteoporosis
136;[AMC] [N/A] Ovarian Cancer 
19;[AMC] [N/A] Parkinson’s Disease
54;[AMC] [N/A] Paroxsysmal Ventricular Tachycardia
22;[AMC] [N/A] Periph Vascular Dis Nos
65;[AMC] [N/A] Peripheral vascular disease
23;[AMC] [N/A] Pneumonia, Organism Nos
137;[AMC] [N/A] Prostate Cancer
58;[AMC] [N/A] Renovascular HTN
83;[AMC] [N/A] Rheumatoid Arthritis
143;[AMC] [N/A] Right hip replacement
145;[AMC] [N/A] Right knee replacement
20;[AMC] [N/A] Schizophrenia
84;[AMC] [N/A] Sleep Apnea
39;[AMC] [N/A] Spinal muscular atrophy
45;[AMC] [N/A] Syncope
74;[AMC] [N/A] Systemic Lupus Erythematosus
72;[AMC] [N/A] Tachycardia
44;[AMC] [N/A] TIA
82;[AMC] [N/A] Tumor, benign pituitary
304;[AMC] [N/A] Urinary Incontinence
141;[AMC] [N/A] Uterine Cancer
53;[AMC] [N/A] Vascular Dementia
60;[AMC] [N/A] Venous Insufficiency
305;[AMC] [N/A] Vertigo
108387;[AMC] [N183] CHRONIC KIDNEY DISEASE, STAGE 3 (MODERATE)
108374;[AMC] [N189] CHRONIC KIDNEY DISEASE, UNSPECIFIED
108399;[AMC] [N319] NEUROMUSCULAR DYSFUNCTION OF BLADDER, UNSPECIFIED
108422;[AMC] [N390] URINARY TRACT INFECTION, SITE NOT SPECIFIED
108389;[AMC] [R1312] DYSPHAGIA, OROPHARYNGEAL PHASE
108409;[AMC] [R159] FULL INCONTINENCE OF FECES
108388;[AMC] [R262] DIFFICULTY IN WALKING, NOT ELSEWHERE CLASSIFIED
108364;[AMC] [R2689] OTHER ABNORMALITIES OF GAIT AND MOBILITY
108420;[AMC] [R339] RETENTION OF URINE, UNSPECIFIED
108410;[AMC] [R413] OTHER AMNESIA
108425;[AMC] [R531] WEAKNESS
108417;[AMC] [R918] OTHER NONSPECIFIC ABNORMAL FINDING OF LUNG FIELD
108391;[AMC] [S80921D] UNSP SUPERFICIAL INJURY OF RIGHT LOWER LEG, SUBS ENCNTR
108408;[AMC] [S81802D] UNSPECIFIED OPEN WOUND, LEFT LOWER LEG, SUBSEQUENT ENCOUNTER
